,score,ibge,nom,codigo_uf,uf
0,-3.064220183486239,1301001,Carauari,13,AM
1,-3.0605504587155963,3146750,Palmópolis,31,MG
2,-3.0458715596330275,2105708,Lago da Pedra,21,MA
3,-3.03302752293578,3126505,Francisco Badaró,31,MG
4,-2.985321100917431,3502002,Analândia,35,SP
5,-2.981651376146789,4108452,Foz do Jordão,41,PR
6,-2.9724770642201834,1300607,Benjamin Constant,13,AM
7,-2.968807339449541,3552007,Silveiras,35,SP
8,-2.965137614678899,1304203,Tefé,13,AM
9,-2.9614678899082567,2918209,Jiquiriçá,29,BA
10,-2.9504587155963304,1304104,Tapauá,13,AM
11,-2.9412844036697248,4100202,Adrianópolis,41,PR
12,-2.93394495412844,3509957,Canas,35,SP
13,-2.93394495412844,2107704,Paraibano,21,MA
14,-2.926605504587156,1505650,Placas,15,PA
15,-2.913761467889908,3138906,Machacalis,31,MG
16,-2.911926605504587,2912509,Ibipitanga,29,BA
17,-2.891743119266055,2514909,São Mamede,25,PB
18,-2.8844036697247706,3541901,Queluz,35,SP
19,-2.8825688073394495,4323358,Vila Lângaro,43,RS
20,-2.8568807339449545,5221551,Turvelândia,52,GO
21,-2.853211009174312,3103504,Araguari,31,MG
22,-2.853211009174312,3526605,Lavrinhas,35,SP
23,-2.840366972477064,1101492,São Francisco do Guaporé,11,RO
24,-2.8000000000000003,2906600,Candiba,29,BA
25,-2.788990825688073,3115458,Catuji,31,MG
26,-2.788990825688073,2910107,Dom Basílio,29,BA
27,-2.785321100917431,3502507,Aparecida,35,SP
28,-2.781651376146789,3116308,Cipotânea,31,MG
29,-2.781651376146789,3116803,Coluna,31,MG
30,-2.7541284403669724,2102200,Buriti,21,MA
31,-2.730275229357798,2314003,Várzea Alegre,23,CE
32,-2.7211009174311926,2515401,São Vicente do Seridó,25,PB
33,-2.7100917431192664,2926806,Rio do Antônio,29,BA
34,-2.7009174311926603,2906501,Candeias,29,BA
35,-2.699082568807339,2101301,Bacuri,21,MA
36,-2.684403669724771,5107180,Ribeirão Cascalheira,51,MT
37,-2.6807339449541288,3135456,Jenipapo de Minas,31,MG
38,-2.677064220183486,3535606,Paraibuna,35,SP
39,-2.677064220183486,2109502,Riachão,21,MA
40,-2.6733944954128437,2922250,Muquém de São Francisco,29,BA
41,-2.6678899082568805,3538501,Piquete,35,SP
42,-2.6587155963302753,3102852,Angelândia,31,MG
43,-2.6550458715596332,2914406,Iraquara,29,BA
44,-2.6458715596330276,3500501,Águas de Lindóia,35,SP
45,-2.644036697247706,3550001,São Luiz do Paraitinga,35,SP
46,-2.642201834862385,3122207,Divinolândia de Minas,31,MG
47,-2.642201834862385,1303205,Novo Airão,13,AM
48,-2.6311926605504588,3300407,Barra Mansa,33,RJ
49,-2.5761467889908256,3519253,Iaras,35,SP
50,-2.5651376146788993,5204953,Campos Verdes,52,GO
51,-2.554128440366972,3305505,Saquarema,33,RJ
52,-2.504587155963303,2928000,Santaluz,29,BA
53,-2.5009174311926605,2503555,Cacimbas,25,PB
54,-2.469724770642202,3505401,Barra do Turvo,35,SP
55,-2.460550458715596,3545100,Salmourão,35,SP
56,-2.4440366972477063,5100607,Alto Taquari,51,MT
57,-2.4311926605504586,2516805,Triunfo,25,PB
58,-2.4146788990825687,2904209,Botuporã,29,BA
59,-2.4146788990825687,3549508,São José da Bela Vista,35,SP
60,-2.403669724770642,5210802,Itajá,52,GO
61,-2.4,2508505,Livramento,25,PB
62,-2.3926605504587157,1700350,Aliança do Tocantins,17,TO
63,-2.3871559633027526,2905156,Caetanos,29,BA
64,-2.381651376146789,1500305,Afuá,15,PA
65,-2.3798165137614675,3529302,Matão,35,SP
66,-2.3761467889908254,2102101,Brejo,21,MA
67,-2.3688073394495412,3105707,Barra Longa,31,MG
68,-2.3688073394495412,3523701,Itirapuã,35,SP
69,-2.36697247706422,3119203,Coroaci,31,MG
70,-2.365137614678899,3148301,Paula Cândido,31,MG
71,-2.361467889908257,2902708,Barra,29,BA
72,-2.3321100917431195,2208700,Redenção do Gurguéia,22,PI
73,-2.315596330275229,5205901,Corumbaíba,52,GO
74,-2.302752293577982,2930808,Souto Soares,29,BA
75,-2.300917431192661,2928109,Santa Maria da Vitória,29,BA
76,-2.2972477064220183,4107108,Diamante do Norte,41,PR
77,-2.2972477064220183,3552304,Sud Mennucci,35,SP
78,-2.295412844036697,1505106,Óbidos,15,PA
79,-2.2807339449541284,2904753,Buritirama,29,BA
80,-2.2807339449541284,3136801,Juramento,31,MG
81,-2.262385321100917,5211800,Jaraguá,52,GO
82,-2.262385321100917,3145877,Orizânia,31,MG
83,-2.258715596330275,3509700,Campos do Jordão,35,SP
84,-2.251376146788991,2101103,Axixá,21,MA
85,-2.251376146788991,2928406,Santa Rita de Cássia,29,BA
86,-2.234862385321101,3303906,Petrópolis,33,RJ
87,-2.21651376146789,2927002,Rio Real,29,BA
88,-2.212844036697248,2922003,Mucuri,29,BA
89,-2.2073394495412844,3537909,Pilar do Sul,35,SP
90,-2.1834862385321103,3532207,Narandiba,35,SP
91,-2.1761467889908257,2904050,Bonito,29,BA
92,-2.172477064220183,1302900,Maués,13,AM
93,-2.168807339449541,2909901,Curaçá,29,BA
94,-2.165137614678899,2905503,Caldeirão Grande,29,BA
95,-2.1559633027522938,4117271,Nova Tebas,41,PR
96,-2.1394495412844035,5221502,Turvânia,52,GO
97,-2.1174311926605505,3529005,Marília,35,SP
98,-2.113761467889908,5204805,Campo Alegre de Goiás,52,GO
99,-2.111926605504587,3130051,Icaraí de Minas,31,MG
100,-2.108256880733945,1505809,Portel,15,PA
101,-2.0954128440366975,2906808,Cansanção,29,BA
102,-2.086238532110092,2924058,Pé de Serra,29,BA
103,-2.077064220183486,3129608,Ibiaí,31,MG
104,-2.067889908256881,2805406,Poço Redondo,28,SE
105,-2.0623853211009173,2926103,Retirolândia,29,BA
106,-2.0587155963302752,2902005,Aracatu,29,BA
107,-2.0587155963302752,3520103,Igarapava,35,SP
108,-2.056880733944954,2921203,Miguel Calmon,29,BA
109,-2.0458715596330275,3520202,Igaratá,35,SP
110,-2.034862385321101,2106326,Maracaçumé,21,MA
111,-2.034862385321101,2926608,Ribeira do Pombal,29,BA
112,-2.0275229357798166,3510500,Caraguatatuba,35,SP
113,-2.014678899082569,2922300,Muritiba,29,BA
114,-1.9926605504587154,2905206,Caetité,29,BA
115,-1.981651376146789,3119500,Coronel Murta,31,MG
116,-1.9706422018348626,3145703,Oliveira Fortes,31,MG
117,-1.9651376146788988,1100296,Santa Luzia D'Oeste,11,RO
118,-1.9577981651376146,2911907,Iaçu,29,BA
119,-1.9467889908256883,2926509,Ribeira do Amparo,29,BA
120,-1.9376146788990822,2923001,Nova Viçosa,29,BA
121,-1.928440366972477,2928208,Santana,29,BA
122,-1.9238532110091744,3151800,Poços de Caldas,31,MG
123,-1.9174311926605507,2913804,Ipecaetá,29,BA
124,-1.9119266055045874,3121407,Desterro de Entre Rios,31,MG
125,-1.9064220183486236,3527504,Lucianópolis,35,SP
126,-1.8880733944954131,2923357,Ourolândia,29,BA
127,-1.8862385321100918,3500204,Adolfo,35,SP
128,-1.8844036697247708,1500404,Alenquer,15,PA
129,-1.878899082568807,2924405,Pilão Arcado,29,BA
130,-1.877064220183486,3527801,Lupércio,35,SP
131,-1.875229357798165,3508603,Cachoeira Paulista,35,SP
132,-1.875229357798165,3127354,Glaucilândia,31,MG
133,-1.8715596330275228,2911857,Heliópolis,29,BA
134,-1.8660550458715597,3301009,Campos dos Goytacazes,33,RJ
135,-1.8642201834862386,2917904,Jandaíra,29,BA
136,-1.8605504587155965,1303106,Nova Olinda do Norte,13,AM
137,-1.83302752293578,3548906,São Carlos,35,SP
138,-1.8238532110091745,2907806,Cícero Dantas,29,BA
139,-1.8183486238532107,2932457,Umburanas,29,BA
140,-1.8128440366972476,1302553,Manaquiri,13,AM
141,-1.8018348623853213,3301306,Casimiro de Abreu,33,RJ
142,-1.8000000000000003,2802007,Divina Pastora,28,SE
143,-1.8000000000000003,2930154,Serra do Ramalho,29,BA
144,-1.798165137614679,2910750,Fátima,29,BA
145,-1.796330275229358,2931509,Teofilândia,29,BA
146,-1.794495412844037,1703107,Barrolândia,17,TO
147,-1.794495412844037,2110039,Santa Luzia do Paruá,21,MA
148,-1.788990825688073,2701506,Campo Grande,27,AL
149,-1.787155963302752,5101902,Brasnorte,51,MT
150,-1.78348623853211,3126208,Formoso,31,MG
151,-1.7798165137614679,3120870,Curral de Dentro,31,MG
152,-1.773394495412844,1501808,Breves,15,PA
153,-1.7559633027522934,2903508,Belo Campo,29,BA
154,-1.7449541284403671,5220504,Serranópolis,52,GO
155,-1.7357798165137617,1400472,Rorainópolis,14,RR
156,-1.7357798165137617,1508159,Uruará,15,PA
157,-1.7339449541284406,3108602,Brasília de Minas,31,MG
158,-1.7192660550458716,3509809,Campos Novos Paulista,35,SP
159,-1.712844036697248,3118601,Contagem,31,MG
160,-1.703669724770642,3152501,Pouso Alegre,31,MG
161,-1.6990825688073392,1100320,São Miguel do Guaporé,11,RO
162,-1.6972477064220182,2933604,Xique-Xique,29,BA
163,-1.686238532110092,2102325,Buriticupu,21,MA
164,-1.6825688073394498,3101706,Almenara,31,MG
165,-1.6807339449541285,3506003,Bauru,35,SP
166,-1.6660550458715595,2901007,Amargosa,29,BA
167,-1.6568807339449543,3168002,Taiobeiras,31,MG
168,-1.644036697247706,3526506,Lavínia,35,SP
169,-1.6293577981651377,1301308,Codajás,13,AM
170,-1.6275229357798167,3543402,Ribeirão Preto,35,SP
171,-1.6220183486238533,5102850,Castanheira,51,MT
172,-1.6110091743119264,3554201,Tejupá,35,SP
173,-1.6091743119266053,3538303,Piquerobi,35,SP
174,-1.6091743119266053,2112704,Vargem Grande,21,MA
175,-1.6064220183486237,2910800,Feira de Santana,29,BA
176,-1.5853211009174308,2904308,Brejões,29,BA
177,-1.5798165137614677,3539509,Pitangueiras,35,SP
178,-1.5706422018348625,2903235,Barro Alto,29,BA
179,-1.5669724770642204,2909307,Correntina,29,BA
180,-1.563302752293578,3517307,Guaimbê,35,SP
181,-1.5559633027522932,2906709,Cândido Sales,29,BA
182,-1.5541284403669722,5106182,Nova Lacerda,51,MT
183,-1.548623853211009,2926202,Riachão das Neves,29,BA
184,-1.5412844036697249,2908408,Conceição do Coité,29,BA
185,-1.5412844036697249,2706109,Ouro Branco,27,AL
186,-1.5394495412844038,1721000,Palmas,17,TO
187,-1.5376146788990828,2923209,Oliveira dos Brejinhos,29,BA
188,-1.5321100917431194,1502954,Eldorado do Carajás,15,PA
189,-1.5229357798165135,3303401,Nova Friburgo,33,RJ
190,-1.5211009174311925,3134707,Jacinto,31,MG
191,-1.5155963302752293,3544608,Sabino,35,SP
192,-1.5100917431192662,2930204,Sento Sé,29,BA
193,-1.5009174311926607,2933059,Várzea da Roça,29,BA
194,-1.5000000000000002,2112209,Timon,21,MA
195,-1.493577981651376,2919801,Macaúbas,29,BA
196,-1.493577981651376,3304524,Rio das Ostras,33,RJ
197,-1.4899082568807338,5001243,Aral Moreira,50,MS
198,-1.4899082568807338,1301654,Guajará,13,AM
199,-1.4623853211009172,5101704,Barra do Bugres,51,MT
200,-1.4587155963302751,3138682,Luislândia,31,MG
201,-1.4440366972477066,2929909,Seabra,29,BA
202,-1.4403669724770645,3301876,Iguaba Grande,33,RJ
203,-1.439449541284404,1303403,Parintins,13,AM
204,-1.432110091743119,2933307,Vitória da Conquista,29,BA
205,-1.430275229357798,2924009,Paulo Afonso,29,BA
206,-1.4082568807339448,2903201,Barreiras,29,BA
207,-1.407339449541284,3540101,Pongaí,35,SP
208,-1.401834862385321,3108255,Bonito de Minas,31,MG
209,-1.4,1300102,Anori,13,AM
210,-1.3981651376146789,3515350,Euclides da Cunha Paulista,35,SP
211,-1.3926605504587157,3135050,Jaíba,31,MG
212,-1.3871559633027524,3520400,Ilhabela,35,SP
213,-1.3862385321100916,3106705,Betim,31,MG
214,-1.3798165137614675,2930600,Serrolândia,29,BA
215,-1.3779816513761465,3527207,Lorena,35,SP
216,-1.3743119266055044,2206357,Milton Brandão,22,PI
217,-1.3724770642201833,3509601,Campo Limpo Paulista,35,SP
218,-1.3669724770642202,3304300,Rio Bonito,33,RJ
219,-1.3669724770642202,2932507,Una,29,BA
220,-1.3633027522935781,3137007,Ladainha,31,MG
221,-1.3376146788990826,2930766,Sítio do Quinto,29,BA
222,-1.3376146788990826,4127882,Tunas do Paraná,41,PR
223,-1.322935779816514,3147956,Patis,31,MG
224,-1.3211009174311923,2907103,Carinhanha,29,BA
225,-1.3211009174311923,3116159,Chapada Gaúcha,31,MG
226,-1.3211009174311923,4207684,Ipuaçu,42,SC
227,-1.313761467889908,3540200,Pontal,35,SP
228,-1.310091743119266,2921906,Mucugê,29,BA
229,-1.2972477064220185,2922656,Nordestina,29,BA
230,-1.2899082568807336,2105005,Humberto de Campos,21,MA
231,-1.2825688073394494,1100106,Guajará-Mirim,11,RO
232,-1.2642201834862388,3505500,Barretos,35,SP
233,-1.256880733944954,3543600,Rifaina,35,SP
234,-1.256880733944954,3549805,São José do Rio Preto,35,SP
235,-1.2458715596330276,3553658,Taquaral,35,SP
236,-1.2330275229357794,3531100,Mongaguá,35,SP
237,-1.2256880733944953,2202505,Caracol,22,PI
238,-1.2229357798165137,1504422,Marituba,15,PA
239,-1.21651376146789,3144300,Nanuque,31,MG
240,-1.214678899082569,3551702,Sertãozinho,35,SP
241,-1.2073394495412846,2931004,Tanhaçu,29,BA
242,-1.2018348623853208,3131802,Itabirinha,31,MG
243,-1.1981651376146787,3519303,Ibaté,35,SP
244,-1.1853211009174314,2918100,Jeremoabo,29,BA
245,-1.1834862385321103,2102002,Bom Jardim,21,MA
246,-1.1834862385321103,3543238,Ribeirão dos Índios,35,SP
247,-1.181651376146789,3305000,São João da Barra,33,RJ
248,-1.177981651376147,2913705,Inhambupe,29,BA
249,-1.176146788990826,3135357,Japonvar,31,MG
250,-1.168807339449541,3501400,Álvaro de Carvalho,35,SP
251,-1.163302752293578,5215504,Ouvidor,52,GO
252,-1.1596330275229358,3532405,Nazaré Paulista,35,SP
253,-1.1495412844036696,3106200,Belo Horizonte,31,MG
254,-1.1394495412844035,3550506,São Pedro do Turvo,35,SP
255,-1.1357798165137614,2902104,Araci,29,BA
256,-1.1293577981651377,1502103,Cametá,15,PA
257,-1.124770642201835,1100148,Nova Brasilândia D'Oeste,11,RO
258,-1.1174311926605507,3130655,Indaiabira,31,MG
259,-1.1174311926605507,3522406,Itapeva,35,SP
260,-1.115596330275229,3519204,Iacri,35,SP
261,-1.113761467889908,3300100,Angra dos Reis,33,RJ
262,-1.113761467889908,1505486,Pacajá,15,PA
263,-1.1119266055045869,3301504,Cordeiro,33,RJ
264,-1.1119266055045869,2917003,Itiúba,29,BA
265,-1.1119266055045869,2918506,Jussara,29,BA
266,-1.1082568807339448,2923704,Paratinga,29,BA
267,-1.1027522935779817,2103505,Colinas,21,MA
268,-1.1009174311926606,3532058,Motuca,35,SP
269,-1.0935779816513762,1100155,Ouro Preto do Oeste,11,RO
270,-1.0807339449541282,2919504,Livramento de Nossa Senhora,29,BA
271,-1.0770642201834861,3135209,Januária,31,MG
272,-1.075229357798165,3533304,Nova Luzitânia,35,SP
273,-1.0724770642201835,2103307,Codó,21,MA
274,-1.067889908256881,2110500,São Bento,21,MA
275,-1.0642201834862386,3111150,Campo Azul,31,MG
276,-1.0642201834862386,3515301,Estrela do Norte,35,SP
277,-1.0623853211009175,3529609,Meridiano,35,SP
278,-1.061467889908257,1503606,Itaituba,15,PA
279,-1.0587155963302755,3505609,Barrinha,35,SP
280,-1.0385321100917433,2921500,Monte Santo,29,BA
281,-1.036697247706422,3513108,Cravinhos,35,SP
282,-1.03302752293578,3545001,Salesópolis,35,SP
283,-1.0256880733944953,2207603,Parnaguá,22,PI
284,-1.0256880733944953,3540606,Porto Feliz,35,SP
285,-1.0229357798165137,3143302,Montes Claros,31,MG
286,-1.022018348623853,3501806,Américo de Campos,35,SP
287,-1.022018348623853,3556305,Valparaíso,35,SP
288,-1.020183486238532,3525607,João Ramalho,35,SP
289,-1.018348623853211,3546801,Santa Isabel,35,SP
290,-1.0146788990825688,3521150,Ipiguá,35,SP
291,-1.0128440366972478,2911105,Formosa do Rio Preto,29,BA
292,-1.0110091743119267,2112308,Tuntum,21,MA
293,-1.0000000000000002,1507201,São Domingos do Capim,15,PA
294,-0.9944954128440366,5219753,Santo Antônio do Descoberto,52,GO
295,-0.9743119266055047,3112307,Capelinha,31,MG
296,-0.9743119266055047,1200336,Mâncio Lima,12,AC
297,-0.9688073394495411,3300233,Armação dos Búzios,33,RJ
298,-0.9678899082568806,2918407,Juazeiro,29,BA
299,-0.9596330275229357,2901908,Aporá,29,BA
300,-0.9559633027522936,3516705,Garça,35,SP
301,-0.9559633027522936,2926004,Remanso,29,BA
302,-0.9559633027522936,2615201,Terra Nova,26,PE
303,-0.9467889908256881,5206206,Cristalina,52,GO
304,-0.9467889908256881,1101708,Urupá,11,RO
305,-0.941284403669725,3518305,Guararema,35,SP
306,-0.941284403669725,2310605,Penaforte,23,CE
307,-0.9339449541284401,3506508,Birigui,35,SP
308,-0.9321100917431191,3305208,São Pedro da Aldeia,33,RJ
309,-0.9311926605504586,2105302,Imperatriz,21,MA
310,-0.9174311926605505,5212501,Luziânia,52,GO
311,-0.9137614678899084,3528700,Marabá Paulista,35,SP
312,-0.9119266055045872,4125407,São José da Boa Vista,41,PR
313,-0.9110091743119269,1501709,Bragança,15,PA
314,-0.8990825688073394,3525300,Jaú,35,SP
315,-0.8954128440366973,5212709,Mambaí,52,GO
316,-0.8935779816513763,3551504,Serrana,35,SP
317,-0.8899082568807339,2616183,Vertente do Lério,26,PE
318,-0.8844036697247706,2515906,Serraria,25,PB
319,-0.8770642201834864,5210000,Inhumas,52,GO
320,-0.8688073394495412,2930709,Simões Filho,29,BA
321,-0.8651376146788992,2913606,Ilhéus,29,BA
322,-0.8623853211009176,3518404,Guaratinguetá,35,SP
323,-0.8605504587155963,3509106,Caiuá,35,SP
324,-0.8587155963302753,5211305,Itarumã,52,GO
325,-0.8559633027522937,2905701,Camaçari,29,BA
326,-0.8513761467889909,3508900,Caiabu,35,SP
327,-0.8513761467889909,4119657,Pitangueiras,41,PR
328,-0.8477064220183488,2915809,Itambé,29,BA
329,-0.8467889908256878,1505536,Parauapebas,15,PA
330,-0.8403669724770642,1503457,Ipixuna do Pará,15,PA
331,-0.8339449541284405,1500107,Abaetetuba,15,PA
332,-0.8293577981651377,3553807,Taquarituba,35,SP
333,-0.8256880733944953,5207907,Flores de Goiás,52,GO
334,-0.8192660550458715,3167202,Sete Lagoas,31,MG
335,-0.8183486238532112,2901403,Angical,29,BA
336,-0.8146788990825689,2920106,Mairi,29,BA
337,-0.8146788990825689,3532801,Nova Aliança,35,SP
338,-0.8110091743119265,3512308,Conchas,35,SP
339,-0.8073394495412844,3302205,Itaperuna,33,RJ
340,-0.8027522935779816,2918001,Jequié,29,BA
341,-0.8,1503093,Goianésia do Pará,15,PA
342,-0.7798165137614679,3300803,Cachoeiras de Macacu,33,RJ
343,-0.7798165137614679,3121605,Diamantina,31,MG
344,-0.7743119266055047,3507308,Boracéia,35,SP
345,-0.761467889908257,3500600,Águas de São Pedro,35,SP
346,-0.7477064220183487,2900702,Alagoinhas,29,BA
347,-0.7467889908256882,3518206,Guararapes,35,SP
348,-0.7458715596330276,3136702,Juiz de Fora,31,MG
349,-0.7449541284403671,3304755,São Francisco de Itabapoana,33,RJ
350,-0.7422018348623853,1302603,Manaus,13,AM
351,-0.7412844036697248,2311207,Potengi,23,CE
352,-0.728440366972477,2933455,Wanderley,29,BA
353,-0.7174311926605506,3138658,Lontra,31,MG
354,-0.7137614678899082,3161106,São Francisco,31,MG
355,-0.7064220183486238,5221601,Uruaçu,52,GO
356,-0.7045871559633028,3537602,Peruíbe,35,SP
357,-0.6990825688073394,3302908,Miguel Pereira,33,RJ
358,-0.6917431192660553,4126272,Saudade do Iguaçu,41,PR
359,-0.689908256880734,3550605,São Roque,35,SP
360,-0.689908256880734,2807105,Simão Dias,28,SE
361,-0.6862385321100919,3511409,Cerqueira César,35,SP
362,-0.6752293577981652,3519055,Holambra,35,SP
363,-0.6752293577981652,2803005,Itabaianinha,28,SE
